superkingdom,phylum,class,order,family,genus,species,year,status,reference
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,butyricum,1880,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,leprae,1880,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,polymyxa,1880,established,"Nasu, Yoshiyuki, et al. ""A case of Paenibacillus polymyxa bacteremia in a patient with cerebral infarction."" Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases 77.10 (2003): 844-848."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,tuberculosis,1883,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,aureus,1884,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pneumoniae,1884,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pyogenes,1884,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,mallei,1885,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,gonorrhoeae,1885,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,alvei,1885,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,mirabilis,1885,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,vulgaris,1885,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides,1886,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,tetani,1886,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,diphtheriae,1886,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,oxytoca,1886,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,pneumoniae,1886,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Kocuria,rosea,1886,established,"Moreira, Jorge Salomão, et al. ""Endocarditis by Kocuria rosea in an immunocompetent child."" Brazilian Journal of Infectious Diseases 19 (2015): 82-84."
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,subflava,1886,established,"Baraldès, Maria A., et al. ""Meningitis due to Neisseria subflava: case report and review."" Clinical infectious diseases 30.3 (2000): 615-617."
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,typhi,1886,established,Taylor et al
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,sputigena,1886,established,"Pinon, G., et al. ""Fatal Selenomonas sputigena septicemia probably originating from lung abscess."" European journal of clinical microbiology 4.3 (1985): 343-344."
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,denticola,1886,established,"Okuda, Katsuji, et al. ""Detection of Treponema denticola in atherosclerotic lesions."" Journal of Clinical Microbiology 39.3 (2001): 1114-1117."
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus,1887,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,chauvoei,1887,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,agglomerans,1888,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,enteritidis,1888,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equi,1888,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,metschnikovii,1888,established,"Jean-Jacques, W. K. J. F. J. C., et al. ""Vibrio metschnikovii bacteremia in a patient with cholecystitis."" Journal of clinical microbiology 14.6 (1981): 711-712."
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,septicum,1889,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,aegyptius,1889,established,"Brazilian Purpuric Fever Study Group. ""Haemophilus aegyptius bacteraemia in Brazilian purpuric fever."" The Lancet 330.8562 (1987): 761-763."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,smegmatis,1889,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Nocardia,farcinica,1889,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,putida,1889,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,pseudotuberculosis,1889,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,circulans,1890,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,cloacae,1890,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Nocardia,asteroides,1891,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,rhodochrous,1891,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,albus,1891,putative,"Martín, Maria Cruz, et al. ""Streptomyces albus isolated from a human actinomycetoma and characterized by molecular techniques."" Journal of clinical microbiology 42.12 (2004): 5957-5960."
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,typhimurium,1892,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,melitensis,1893,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Streptosporangiales,Thermomonosporaceae,Actinomadura,madurae,1894,established,"Bonifaz, Alexandro, et al. ""Actinomycetoma by Actinomadura madurae. Clinical and therapeutic characteristics of 18 cases with two treatment modalities."" Journal of Dermatological Treatment (2020): 1-5."
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,choleraesuis,1894,established,Taylor et al
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,desulfuricans,1895,established,"Hagiya, Hideharu, et al. ""Desulfovibrio desulfuricans bacteremia: a case report and literature review."" Anaerobe 49 (2018): 112-115."
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,coli,1895,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,fluorescens,1895,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,israelii,1896,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,salmonicida,1896,established,"Tewari, Rachna, et al. ""Isolation of Aeromonas salmonicida from human blood sample: a case report."" Journal of clinical and diagnostic research: JCDR 8.2 (2014): 139."
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,botulinum,1896,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,pseudodiphthericum,1896,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,xerosis,1896,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,influenzae,1896,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,1896,established,"Maillet, F., et al. ""Lactobacillus delbrueckii urinary tract infection in a male patient."" Medecine et maladies infectieuses 49.3 (2019): 226-228."
Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,catarrhalis,1896,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,stutzeri,1896,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,plymuthica,1896,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,agalactiae,1896,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,pestis,1896,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,dysenteriae,1897,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,licheniformis,1898,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,1898,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,perfringens,1898,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,ramosum,1898,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,cadaveris,1899,established,"Poduval, Rajiv D., et al. ""Clostridium cadaveris bacteremia in an immunocompetent host."" Clinical infectious diseases 29.5 (1999): 1354-1355."
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,multocida,1899,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,brevis,1900,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,novyi,1900,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,kutscheri,1900,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,acnes,1900,established,Taylor et al
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,rhusiopathiae,1900,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Kocuria,varians,1900,established,"Tsai, Cheng-Yu, et al. ""Kocuria varians infection associated with brain abscess: a case report."" BMC infectious diseases 10.1 (2010): 1-4."
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,1900,putative,"Thompson, Charles, et al. ""Lactobacillus acidophilus sepsis in a neonate."" Journal of Perinatology 21.4 (2001): 258-260."
Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,lacunata,1900,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,acnes,1900,established,"Jakab, E., et al. ""Severe infections caused by Propionibacterium acnes: an underestimated pathogen in late postoperative infections."" The Yale journal of biology and medicine 69.6 (1996): 477."
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,hydrophila,1901,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,pumilus,1901,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,abortus,1901,established,"Fiori, Pier Luigi, et al. ""Brucella abortus infection acquired in microbiology laboratories."" Journal of clinical microbiology 38.5 (2000): 2005-2006."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,striatum,1901,established,Taylor et al
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,mortiferum,1901,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,avium,1901,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,meningitidis,1901,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Arcanobacterium,pyogenes,1903,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Trueperella,pyogenes,1903,established,"Kavitha, Kannaiyan, et al. ""Three cases of Arcanobacterium pyogenes-associated soft tissue infection."" Journal of medical microbiology 59.6 (2010): 736-739."
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,sphaericus,1904,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,carnis,1904,putative,"Wort, A. J., and R. L. Ozere. ""Characteristics of a strain of Clostridium carnis causing septicaemia in a young infant."" Journal of clinical pathology 29.11 (1976): 1011-1013."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,rubripertincta,1904,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,sphaericus,1904,established,"Wenzler, Eric, Kamal Kamboj, and Joan-Miquel Balada-Llasat. ""Severe sepsis secondary to persistent Lysinibacillus sphaericus, Lysinibacillus fusiformis and Paenibacillus amylolyticus bacteremia."" International Journal of Infectious Diseases 35 (2015): 93-95."
Bacteria,Actinobacteria,Actinomycetia,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,dassonvillei,1904,established,"Mordarska, Hi, et al. ""Rare, suppurative pulmonary infection caused by Nocardiopsis dassonvillei recognized by glycolipid markers."" FEMS Immunology & Medical Microbiology 21.1 (1998): 47-55."
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,macerans,1905,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcus,anaerobius,1905,established,Taylor et al
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,pallidum,1905,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Streptosporangiales,Thermomonosporaceae,Actinomadura,pelletieri,1906,established,"Cascio, Antonio, et al. ""Actinomadura pelletieri mycetoma–an atypical case with spine and abdominal wall involvement."" Journal of medical microbiology 60.5 (2011): 673-676."
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,duttonii,1906,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecalis,1906,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,cinerea,1906,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,anginosus,1906,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus,1906,established,"Klein, Robert S., et al. ""Streptococcus equinus septicemia: report of two cases and review of the literature."" The American journal of the medical sciences 279.2 (1980): 99-103."
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,mitis,1906,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,1906,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,somaliensis,1906,established,"Borelli, Dante, and Marianne Middelveen. ""Actinomycetoma caused by Streptomyces somaliensis."" Archives of dermatology 122.10 (1986): 1097-1098."
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,tumefaciens,1907,established,"Southern Jr, Paul M. ""Bacteremia due to Agrobacterium tumefaciens (radiobacter) report of infection in a pregnant woman and her stillborn fetus."" Diagnostic microbiology and infectious disease 24.1 (1996): 43-45."
Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,interrogans,1907,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,sporogenes,1908,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,cylindroides,1908,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,sicca,1908,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,epidermidis,1908,established,Taylor et al
Bacteria,Firmicutes,Tissierellia,Tissierellales,Tissierellaceae,Tissierella,praeacuta,1908,established,"Caméléna, F., et al. ""Infections caused by Tissierella praeacuta: a report of two cases and literature review."" Anaerobe 40 (2016): 15-17."
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,naviforme,1909,putative,"Rifaat, Mario, et al. ""CME: Fusobacterium nucleatum/naviforme-a Rare but Serious Cause for Pyogenic Liver Abscesses."" Praxis 107.19 (2018): 1007-1012."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Nocardia,brasiliensis,1909,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,anguillarum,1909,putative,"Sinatra, Jennifer A., and Kate Colby. ""Notes from the field: fatal Vibrio anguillarum infection in an immunocompromised patient—Maine, 2017."" Morbidity and Mortality Weekly Report 67.34 (2018): 962."
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,lignieresii,1910,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,moniliforme,1910,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,calcoaceticus,1911,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,pseudotuberculosis,1911,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,multiforme,1911,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,actinomycetemcomitans,1912,established,"Mukherjee, Amarshi, et al. ""Rheumatoid arthritis-associated autoimmunity due to aggregatibacter actinomycetemcomitans and its resolution with antibiotic therapy."" Frontiers in immunology 9 (2018): 2352."
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,1912,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,bronchiseptica,1912,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,tularensis,1912,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,actinomycetemcomitans,1912,established,Taylor et al
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,asaccharolyticus,1912,established,"Verma, Rajanshu, Shogofa Morrad, and Jason J. Wirtz. ""Peptoniphilus asaccharolyticus-associated septic arthritis and osteomyelitis in a woman with osteoarthritis and diabetes mellitus."" Case Reports 2017 (2017): bcr-2017."
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcus,asaccharolyticus,1912,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,bacilliformis,1913,established,Taylor et al
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,persica,1913,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,gladioli,1913,established,"Graves, Margot, et al. ""Four additional cases of Burkholderia gladioli infection with microbiological correlates and review."" Clinical infectious diseases 25.4 (1997): 838-842."
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei,1913,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,granulomatis,1913,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,griseus,1914,putative,"Chander, Jagdish, Nidhi Singla, and Uma Handa. ""Human cervicofacial mycetoma caused by Streptomyces griseus: First case report."" Journal of Microbiology, Immunology and Infection 48.6 (2015): 703-705."
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,coagulans,1915,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,thuringiensis,1915,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,fallax,1915,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Dermatophilus,congolensis,1915,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hathewaya,histolytica,1916,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,nonliquefaciens,1916,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,prowazekii,1916,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,quintana,1917,established,Taylor et al
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,crocidurae,1917,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,tertium,1917,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,equuli,1918,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,bifermentans,1918,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Paraclostridium,bifermentans,1918,established,"Biswas, Rakhi, et al. ""Brain abscess and cervical lymphadenitis due to Paraclostridium bifermentans: A report of two cases."" Anaerobe 51 (2018): 8-11."
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,rettgeri,1918,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,faecalis,1919,established,"Tena, Daniel, Cristina Fernández, and María R. Lago. ""Alcaligenes faecalis: an unusual cause of skin and soft tissue infection."" Japanese journal of infectious diseases (2014): JJID-2014."
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,fetus,1919,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,sphenoides,1919,established,"Sullivan, S. N., R. J. Darwish, and B. C. Schieven. ""Severe diarrhea due to Clostridium sphenoides: a case report."" Canadian Medical Association Journal 123.5 (1980): 398."
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecium,1919,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,plantarum,1919,established,"Shinar, E., E. Leitersdorf, and R. Yevin. ""Lactobacillus plantarum endocarditis."" Klinische Wochenschrift 62.24 (1984): 1173-1174."
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,morganii,1919,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,rickettsii,1919,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,proteamaculans,1919,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,flexneri,1919,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,bovis,1919,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,tsutsugamushi,1920,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,typhi,1920,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,sonnei,1920,established,Taylor et al
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,venezuelensis,1921,established,Taylor et al
